Agente,Módulo,Datos,Fecha/Hora
"ldap1","disk_home_free","49.00","2015-04-07 20:22:29"
"ldap1","disk_home_free","49.00","2015-04-08 20:24:27"
"ldap1","disk_home_free","49.00","2015-04-09 20:27:12"
"ldap1","disk_home_free","49.00","2015-04-10 20:29:28"
"ldap1","disk_home_free","49.00","2015-04-11 20:31:21"
"ldap1","disk_home_free","49.00","2015-04-12 20:33:08"
"ldap1","disk_home_free","49.00","2015-04-13 20:35:09"
"ldap1","disk_home_free","49.00","2015-04-14 20:36:55"
"ldap1","disk_home_free","49.00","2015-04-15 20:39:13"
"ldap1","disk_home_free","49.00","2015-04-16 20:41:39"
"ldap1","disk_home_free","49.00","2015-04-17 20:43:37"
"ldap1","disk_home_free","49.00","2015-04-18 20:45:32"
"ldap1","disk_home_free","49.00","2015-04-19 20:47:31"
"ldap1","disk_home_free","49.00","2015-04-20 20:49:45"
"ldap1","disk_home_free","49.00","2015-04-21 20:51:27"
"ldap1","disk_home_free","49.00","2015-04-22 20:52:58"
"ldap1","disk_home_free","49.00","2015-04-23 20:55:13"
"ldap1","disk_home_free","49.00","2015-04-24 20:56:39"
"ldap1","disk_home_free","49.00","2015-04-25 20:58:12"
"ldap1","disk_home_free","49.00","2015-04-26 20:59:40"
"ldap1","disk_home_free","49.00","2015-04-27 21:01:01"
"ldap1","disk_home_free","49.00","2015-04-28 21:02:29"
"ldap1","disk_home_free","48.00","2015-04-29 18:17:09"
"ldap1","disk_home_free","49.00","2015-04-30 12:35:13"
"ldap1","disk_home_free","48.00","2015-04-30 13:40:59"
"ldap1","disk_home_free","48.00","2015-05-01 13:43:15"
"ldap1","disk_home_free","48.00","2015-05-02 13:45:25"
"ldap1","disk_home_free","48.00","2015-05-03 13:48:18"
"ldap1","disk_home_free","48.00","2015-05-04 13:50:13"
"ldap1","disk_home_free","48.00","2015-05-05 13:53:19"
"ldap1","disk_home_free","48.00","2015-05-06 13:55:17"
"ldap1","disk_home_free","48.00","2015-05-07 13:56:34"
"ldap1","disk_home_free","48.00","2015-05-08 13:58:24"
"ldap1","disk_home_free","48.00","2015-05-09 14:00:51"
"ldap1","disk_home_free","48.00","2015-05-10 14:02:21"
"ldap1","disk_home_free","48.00","2015-05-11 14:04:24"
"ldap1","disk_home_free","48.00","2015-05-12 14:07:54"
"ldap1","disk_home_free","48.00","2015-05-13 14:10:04"
"ldap1","disk_home_free","48.00","2015-05-14 14:12:39"
"ldap1","disk_home_free","48.00","2015-05-15 14:14:47"
"ldap1","disk_home_free","48.00","2015-05-16 14:17:26"
"ldap1","disk_home_free","48.00","2015-05-17 14:19:35"
"ldap1","disk_home_free","48.00","2015-05-18 14:24:56"
"ldap1","disk_home_free","48.00","2015-05-19 14:29:03"
"ldap1","disk_home_free","47.00","2015-05-20 12:15:18"
"ldap1","disk_home_free","48.00","2015-05-20 13:51:28"
"ldap1","disk_home_free","47.00","2015-05-20 20:41:18"
"ldap1","disk_home_free","47.00","2015-05-21 20:44:03"

